title,company_name,description,skills_requirements,location,stipend,category,application_deadline,is_remote
Backend Developer Intern,Freshworks,"Join a fast-paced team, ship features to production and get close guidance from experienced engineers.","Communication Skills, Cybersecurity, Excel, Figma, Power BI, React, SQL, Tableau",Noida,,Business / Analytics,2026-02-14,False
Data Science Intern,Swiggy,"Improve your fundamentals with code reviews, pair programming and weekly learning sessions.","Data Analysis, Deep Learning, Excel, TensorFlow",Hyderabad,10744-16233,Artificial Intelligence,2026-03-09,False
QA / Test Automation Intern,Swiggy,"Take ownership of a mini project from idea to demo, and present it to leadership at the end.","Communication Skills, Excel, Problem Solving, UI/UX Design",Noida,,UI/UX Design,2026-04-22,False
Cybersecurity Intern,Google,Design and develop user-facing features while collaborating closely with design and product.,"AWS, Cloud Computing, Communication Skills, Creativity, Figma, Leadership, UI/UX Design",Pune,20186-47244,UI/UX Design,2026-03-06,False
Frontend Developer Intern,PhonePe,"Join a fast-paced team, ship features to production and get close guidance from experienced engineers.","AWS, Communication Skills, Data Analysis, Docker, Excel, Power BI, SQL, Teamwork",Bangalore,6544-24028,Business / Analytics,2026-07-23,False
UI/UX Design Intern,Wipro,Design and develop user-facing features while collaborating closely with design and product.,"Communication Skills, Java, Product Sense, Tableau, Teamwork",Ahmedabad,,Product,2026-04-03,False
Backend Developer Intern,Swiggy,"Take ownership of a mini project from idea to demo, and present it to leadership at the end.","Data Analysis, Deep Learning, NLP, REST APIs, Teamwork",Noida,23104-31114,Machine Learning,2026-05-03,False
Cybersecurity Intern,Salesforce,"Improve your fundamentals with code reviews, pair programming and weekly learning sessions.","Communication Skills, Data Analysis, Docker, Finance Basics",Gurgaon,17913-21755,Business / Analytics,2026-06-14,False
Finance Intern,Paytm,"Get exposure to industry-standard tools, cloud platforms and modern engineering practices.","Linux, PyTorch, Python",Kolkata,,Artificial Intelligence,2026-07-04,False
Full Stack Developer Intern,PhonePe,"Solve practical business problems with data and models, and build a strong portfolio of projects.","Data Analysis, Excel, NLP, Problem Solving, Python, SQL, Statistics",Remote,7472-20247,Finance,2026-04-30,True
Machine Learning Intern,Freshworks,"Solve practical business problems with data and models, and build a strong portfolio of projects.","Azure, Docker, Kubernetes, Linux, Machine Learning, React",Jaipur,,Cloud / DevOps,2026-05-01,False
NLP Intern,Meesho,"Join a fast-paced team, ship features to production and get close guidance from experienced engineers.","Data Analysis, Docker, Excel, Finance Basics, Linux, Problem Solving, Product Sense, Statistics",Jaipur,,Finance,2026-02-21,False
Full Stack Developer Intern,Byjus,Design and develop user-facing features while collaborating closely with design and product.,"Communication Skills, Creativity, Figma, Machine Learning, UI/UX Design",Kolkata,9482-30538,UI/UX Design,2026-06-16,False
Marketing Intern,Accenture,Work on real-time projects used by thousands of users while learning from senior mentors.,"Data Analysis, Finance Basics, Product Sense, Teamwork",Delhi,19517-34931,Product,2026-03-13,False
Business Analyst Intern,Byjus,Work on real-time projects used by thousands of users while learning from senior mentors.,"Data Analysis, Docker, Leadership, Machine Learning, NLP, PyTorch, Python",Chennai,14377-32747,Artificial Intelligence,2026-06-19,False
Mobile App Developer Intern,Byjus,"Take ownership of a mini project from idea to demo, and present it to leadership at the end.","Creativity, Marketing Basics, Problem Solving",Gurgaon,9046-21677,Marketing / Growth,2026-01-26,False
Full Stack Developer Intern,Wipro,"Join a fast-paced team, ship features to production and get close guidance from experienced engineers.","Communication Skills, Creativity, Product Sense, SQL",Hyderabad,18347-47441,Product,2026-04-04,False
AI Research Intern,Byjus,High-performing interns may be considered for full-time offers or extended internships.,"Excel, Pandas, PyTorch, Python, SQL",Remote,20407-24925,Data Science,2026-05-05,True
Cloud Engineering Intern,TCS,High-performing interns may be considered for full-time offers or extended internships.,"Data Analysis, Java, JavaScript, Python, Statistics",Mumbai,17552-42918,Software Development,2026-03-21,False
NLP Intern,Microsoft,Work on real-time projects used by thousands of users while learning from senior mentors.,"Communication Skills, Data Analysis, Excel, Java",Pune,,Finance,2026-03-21,False
Product Management Intern,Zoho,"Join a fast-paced team, ship features to production and get close guidance from experienced engineers.","Communication Skills, Data Analysis, Teamwork",Chennai,6080-13139,Product,2026-03-26,False
NLP Intern,Freshworks,"Get exposure to industry-standard tools, cloud platforms and modern engineering practices.","C, Git/GitHub, Java, Machine Learning, Problem Solving, Python, REST APIs, SQL",Hyderabad,6558-20204,Software Development,2026-02-07,False
AI Research Intern,Wipro,"Contribute to live ML pipelines, run experiments and present your findings to the product team.","Communication Skills, Creativity, Figma, Java, NLP, UI/UX Design",Hyderabad,,UI/UX Design,2026-03-05,False
Marketing Intern,Amazon,"Join a fast-paced team, ship features to production and get close guidance from experienced engineers.","C, Cybersecurity, Deep Learning, REST APIs, React",Delhi,7768-21659,Software Development,2026-01-05,False
Marketing Intern,Swiggy,Design and develop user-facing features while collaborating closely with design and product.,"AWS, Docker, Python",Jaipur,13835-32569,Cloud / DevOps,2026-01-24,False
QA / Test Automation Intern,Salesforce,Work on real-time projects used by thousands of users while learning from senior mentors.,"Communication Skills, Data Analysis, Excel, Kubernetes, Power BI",Remote,,Business / Analytics,2025-12-10,True
Full Stack Developer Intern,Swiggy,Work on real-time projects used by thousands of users while learning from senior mentors.,"Communication Skills, Creativity, PyTorch, SQL, UI/UX Design",Delhi,7603-23439,UI/UX Design,2026-02-10,False
Cybersecurity Intern,IBM,Work on real-time projects used by thousands of users while learning from senior mentors.,"Data Analysis, Deep Learning, NLP, PyTorch, SQL, Statistics, TensorFlow",Hyderabad,13508-42899,Machine Learning,2026-04-06,False
UI/UX Design Intern,Freshworks,"Join a fast-paced team, ship features to production and get close guidance from experienced engineers.","C++, Data Analysis, Pandas, PyTorch, Python, Time Management",Remote,,Artificial Intelligence,2026-05-15,True
Machine Learning Intern,Wipro,"Join a fast-paced team, ship features to production and get close guidance from experienced engineers.","Data Analysis, Finance Basics, NumPy, Problem Solving, Tableau",Noida,18337-32944,Finance,2026-01-16,False
Machine Learning Intern,Accenture,Design and develop user-facing features while collaborating closely with design and product.,"Data Analysis, Figma, Finance Basics, NLP",Jaipur,,Finance,2026-03-16,False
UI/UX Design Intern,Wipro,"Improve your fundamentals with code reviews, pair programming and weekly learning sessions.","Data Analysis, Finance Basics, HTML/CSS, Problem Solving, Statistics",Noida,17018-31470,Finance,2026-04-17,False
Mobile App Developer Intern,PhonePe,"Solve practical business problems with data and models, and build a strong portfolio of projects.","Azure, Data Analysis, Deep Learning, Excel, Finance Basics, NLP, Problem Solving, Statistics",Bangalore,,Finance,2026-03-27,False
Full Stack Developer Intern,Zoho,"Take ownership of a mini project from idea to demo, and present it to leadership at the end.","C, Cybersecurity, Docker, Linux, Marketing Basics, Problem Solving, Python",Kolkata,9501-36738,Cybersecurity,2026-03-14,False
Cybersecurity Intern,Google,High-performing interns may be considered for full-time offers or extended internships.,"Creativity, TensorFlow, UI/UX Design",Delhi,17846-22202,UI/UX Design,2026-02-08,False
Marketing Intern,CRED,"Join a fast-paced team, ship features to production and get close guidance from experienced engineers.","Data Analysis, Deep Learning, NLP, Python, TensorFlow",Hyderabad,,Artificial Intelligence,2026-06-08,False
DevOps Intern,Adobe,Design and develop user-facing features while collaborating closely with design and product.,"AWS, Docker, HTML/CSS, Power BI, TensorFlow",Delhi,11837-20401,Cloud / DevOps,2026-03-15,False
Data Analyst Intern,Zomato,High-performing interns may be considered for full-time offers or extended internships.,"Azure, Networking, Power BI, Tableau",Delhi,,Business / Analytics,2025-12-29,False
Marketing Intern,Microsoft,"Improve your fundamentals with code reviews, pair programming and weekly learning sessions.","Data Analysis, Deep Learning, Git/GitHub, Linux, Python",Remote,7950-19508,Artificial Intelligence,2026-04-13,True
Finance Intern,Swiggy,High-performing interns may be considered for full-time offers or extended internships.,"Cybersecurity, HTML/CSS, Linux, Networking, Problem Solving, Python",Ahmedabad,10634-28738,Cybersecurity,2026-05-18,False
UI/UX Design Intern,Byjus,"Contribute to live ML pipelines, run experiments and present your findings to the product team.","C++, Finance Basics, Pandas, Power BI, Python, Statistics, Tableau",Pune,18745-22582,Data Science,2026-05-23,False
NLP Intern,Microsoft,"Join a fast-paced team, ship features to production and get close guidance from experienced engineers.","Data Analysis, Machine Learning, NumPy, PyTorch, TensorFlow",Hyderabad,18862-28041,Artificial Intelligence,2026-03-11,False
Product Management Intern,Salesforce,"Contribute to live ML pipelines, run experiments and present your findings to the product team.","Data Analysis, Machine Learning, Marketing Basics, PyTorch, Python, Statistics",Jaipur,10261-26911,Machine Learning,2026-02-26,False
QA / Test Automation Intern,Swiggy,Work on real-time projects used by thousands of users while learning from senior mentors.,"C, Git/GitHub, Problem Solving, Teamwork",Hyderabad,13040-21451,Software Development,2026-04-16,False
Cybersecurity Intern,Accenture,"Join a fast-paced team, ship features to production and get close guidance from experienced engineers.","Communication Skills, Data Analysis, Excel, Marketing Basics, Teamwork",Remote,16327-18813,Marketing / Growth,2026-04-17,True
Data Analyst Intern,Byjus,"Get exposure to industry-standard tools, cloud platforms and modern engineering practices.","Creativity, Networking, UI/UX Design",Kolkata,9704-33383,UI/UX Design,2026-01-15,False
Software Engineering Intern,Meesho,"Improve your fundamentals with code reviews, pair programming and weekly learning sessions.","Data Analysis, Deep Learning, Docker, Networking, NumPy",Noida,7719-32516,Data Science,2026-06-03,False
Marketing Intern,Meesho,High-performing interns may be considered for full-time offers or extended internships.,"Figma, Power BI, Tableau",Hyderabad,,Business / Analytics,2026-06-01,False
DevOps Intern,Zoho,"Get exposure to industry-standard tools, cloud platforms and modern engineering practices.","Creativity, Data Analysis, Kubernetes, Python",Noida,,Artificial Intelligence,2025-12-10,False
Product Management Intern,Wipro,"Work in a student-friendly environment that values learning, feedback and long-term growth.","Excel, Problem Solving, REST APIs, Statistics",Kolkata,,Finance,2026-04-23,False
Business Analyst Intern,Freshworks,"Improve your fundamentals with code reviews, pair programming and weekly learning sessions.","Excel, GCP, PyTorch, SQL, Tableau",Delhi,19247-23263,Business / Analytics,2026-04-07,False
Product Management Intern,Wipro,"Solve practical business problems with data and models, and build a strong portfolio of projects.","Cybersecurity, Kubernetes, Linux, Networking, Power BI, Problem Solving, Python",Remote,,Cybersecurity,2026-06-08,True
Software Engineering Intern,Infosys,"Solve practical business problems with data and models, and build a strong portfolio of projects.","Cybersecurity, Linux, Networking, Python, React, Teamwork",Hyderabad,,Cybersecurity,2026-05-13,False
AI Research Intern,Uber,Design and develop user-facing features while collaborating closely with design and product.,"Communication Skills, Creativity, Leadership, NumPy, Product Sense, Teamwork",Ahmedabad,22633-25373,Product,2026-07-23,False
Full Stack Developer Intern,Ola,"Get exposure to industry-standard tools, cloud platforms and modern engineering practices.","Data Analysis, Excel, Power BI, Problem Solving, Statistics",Bangalore,8564-14938,Finance,2026-03-22,False
Cybersecurity Intern,Intel,"Improve your fundamentals with code reviews, pair programming and weekly learning sessions.","Cloud Computing, Docker, Kubernetes, Linux, Product Sense, React",Remote,,Cloud / DevOps,2026-06-06,True
Cloud Engineering Intern,Intel,"Join a fast-paced team, ship features to production and get close guidance from experienced engineers.","Creativity, Data Analysis, Docker, Leadership, Linux",Kolkata,6814-23905,Marketing / Growth,2026-05-22,False
Cybersecurity Intern,Zomato,"Take ownership of a mini project from idea to demo, and present it to leadership at the end.","Data Analysis, Finance Basics, React, Statistics",Chennai,13653-27705,Finance,2025-12-23,False
NLP Intern,Swiggy,Work on real-time projects used by thousands of users while learning from senior mentors.,"Communication Skills, Creativity, Data Analysis, Figma, Finance Basics, JavaScript, Marketing Basics",Mumbai,11334-36876,Marketing / Growth,2025-12-31,False
Finance Intern,Accenture,"Contribute to live ML pipelines, run experiments and present your findings to the product team.","AWS, Azure, Cybersecurity, GCP, Git/GitHub",Pune,19826-32654,Cloud / DevOps,2026-02-15,False
Product Management Intern,Uber,Work on real-time projects used by thousands of users while learning from senior mentors.,"Data Analysis, Excel, Finance Basics, Machine Learning, Problem Solving, Statistics",Pune,17520-21887,Finance,2026-03-28,False
Cloud Engineering Intern,Google,"Work in a student-friendly environment that values learning, feedback and long-term growth.","Machine Learning, Power BI, Python, React, SQL",Noida,,Data Science,2026-02-07,False
Data Analyst Intern,PhonePe,"Work in a student-friendly environment that values learning, feedback and long-term growth.","Creativity, Data Analysis, Python",Pune,22788-31927,Marketing / Growth,2026-07-06,False
Growth Intern,PhonePe,"Improve your fundamentals with code reviews, pair programming and weekly learning sessions.","AWS, Machine Learning, Product Sense, PyTorch",Hyderabad,7972-20105,Machine Learning,2026-02-23,False
Mobile App Developer Intern,Salesforce,"Contribute to live ML pipelines, run experiments and present your findings to the product team.","GCP, Java, Problem Solving",Kolkata,,Software Development,2025-12-18,False
Data Analyst Intern,IBM,"Contribute to live ML pipelines, run experiments and present your findings to the product team.","Data Analysis, Finance Basics, HTML/CSS, Networking, Pandas, Problem Solving, Statistics",Noida,7804-32794,Finance,2025-12-11,False
Cloud Engineering Intern,IBM,"Join a fast-paced team, ship features to production and get close guidance from experienced engineers.","Communication Skills, Creativity, Data Analysis, Deep Learning, Finance Basics, Leadership, Teamwork",Remote,,Product,2026-06-21,True
AI Research Intern,NVIDIA,"Contribute to live ML pipelines, run experiments and present your findings to the product team.","C, Data Analysis, Linux, NumPy, Python, Statistics, Tableau",Bangalore,11606-23201,Data Science,2026-04-15,False
UI/UX Design Intern,Ola,"Take ownership of a mini project from idea to demo, and present it to leadership at the end.","Cloud Computing, Data Analysis, Kubernetes, Marketing Basics, Teamwork",Kolkata,6628-11168,Marketing / Growth,2026-06-13,False
Machine Learning Intern,Amazon,"Join a fast-paced team, ship features to production and get close guidance from experienced engineers.","Communication Skills, Deep Learning, TensorFlow",Noida,8406-15266,Artificial Intelligence,2026-01-16,False
Mobile App Developer Intern,Microsoft,"Work in a student-friendly environment that values learning, feedback and long-term growth.","Cybersecurity, Java, JavaScript, Leadership, Networking, Problem Solving, Python",Pune,,Cybersecurity,2026-06-24,False
Cloud Engineering Intern,Accenture,"Improve your fundamentals with code reviews, pair programming and weekly learning sessions.","Azure, Communication Skills, Creativity, Data Analysis, Figma, NumPy, UI/UX Design",Mumbai,22300-46466,UI/UX Design,2026-01-09,False
UI/UX Design Intern,IBM,"Join a fast-paced team, ship features to production and get close guidance from experienced engineers.","Cybersecurity, Kubernetes, Linux, NumPy, Problem Solving, Python, Teamwork",Ahmedabad,19176-21670,Cybersecurity,2026-07-16,False
NLP Intern,Meesho,"Join a fast-paced team, ship features to production and get close guidance from experienced engineers.","Data Analysis, PyTorch, Teamwork",Remote,12704-39620,Product,2026-07-15,True
Finance Intern,Ola,Work on real-time projects used by thousands of users while learning from senior mentors.,"Data Analysis, Excel, Figma, Java, Linux, SQL, Tableau",Bangalore,18852-45675,Business / Analytics,2026-02-24,False
Cybersecurity Intern,Amazon,High-performing interns may be considered for full-time offers or extended internships.,"C, Communication Skills, Creativity, Data Analysis, Docker, Excel, Marketing Basics",Noida,14110-27994,Marketing / Growth,2026-01-14,False
Marketing Intern,Infosys,"Join a fast-paced team, ship features to production and get close guidance from experienced engineers.","Data Analysis, Deep Learning, Figma, Machine Learning, Pandas, PyTorch, Statistics",Mumbai,19490-45733,Machine Learning,2026-05-19,False
Full Stack Developer Intern,Adobe,"Improve your fundamentals with code reviews, pair programming and weekly learning sessions.","Cloud Computing, Cybersecurity, Deep Learning, Linux, Networking, Problem Solving, Python, React",Kolkata,11009-25380,Cybersecurity,2026-04-09,False
DevOps Intern,Flipkart,Design and develop user-facing features while collaborating closely with design and product.,"Data Analysis, Java, NLP, NumPy, PyTorch, Python",Gurgaon,23380-38946,Artificial Intelligence,2026-05-30,False
Cloud Engineering Intern,Google,"Improve your fundamentals with code reviews, pair programming and weekly learning sessions.","Data Analysis, Deep Learning, Linux, Machine Learning, NLP, PyTorch, Statistics",Delhi,,Machine Learning,2026-07-18,False
Cybersecurity Intern,Salesforce,"Join a fast-paced team, ship features to production and get close guidance from experienced engineers.","Cybersecurity, Networking, Problem Solving, PyTorch",Noida,,Cybersecurity,2026-03-05,False
Data Analyst Intern,Accenture,"Work in a student-friendly environment that values learning, feedback and long-term growth.","Data Analysis, Excel, Problem Solving, Teamwork",Noida,,Finance,2026-05-05,False
Product Management Intern,Zomato,"Work in a student-friendly environment that values learning, feedback and long-term growth.","Data Analysis, Excel, Finance Basics, Marketing Basics, Problem Solving, Statistics, Time Management",Hyderabad,,Finance,2026-01-29,False
Data Analyst Intern,Zoho,"Get exposure to industry-standard tools, cloud platforms and modern engineering practices.","C, Data Analysis, NLP, Problem Solving, PyTorch, TensorFlow",Hyderabad,20068-22331,Artificial Intelligence,2026-05-17,False
Frontend Developer Intern,Infosys,High-performing interns may be considered for full-time offers or extended internships.,"Communication Skills, Creativity, Data Analysis, Excel, Product Sense, Teamwork",Mumbai,,Product,2026-04-06,False
QA / Test Automation Intern,Uber,"Solve practical business problems with data and models, and build a strong portfolio of projects.","Docker, Machine Learning, NLP, Power BI, Python, Tableau",Noida,17719-27254,Data Science,2026-02-20,False
Marketing Intern,Google,Work on real-time projects used by thousands of users while learning from senior mentors.,"Azure, Excel, HTML/CSS, Kubernetes, Time Management",Delhi,17587-38770,Cloud / DevOps,2026-05-25,False
Backend Developer Intern,Byjus,"Get exposure to industry-standard tools, cloud platforms and modern engineering practices.","C, GCP, JavaScript, Time Management",Bangalore,,Software Development,2026-01-07,False
Product Management Intern,IBM,"Improve your fundamentals with code reviews, pair programming and weekly learning sessions.","Cybersecurity, JavaScript, Leadership, Linux, Networking, Statistics",Noida,11955-32761,Cybersecurity,2026-06-26,False
Data Analyst Intern,Google,"Join a fast-paced team, ship features to production and get close guidance from experienced engineers.","Cloud Computing, Communication Skills, Creativity, Figma, Kubernetes, TensorFlow, UI/UX Design",Jaipur,21264-35065,UI/UX Design,2026-02-12,False
Data Analyst Intern,PhonePe,"Solve practical business problems with data and models, and build a strong portfolio of projects.","Communication Skills, Creativity, Figma, Java, Power BI, Problem Solving, UI/UX Design",Noida,13261-20184,UI/UX Design,2026-07-24,False
Backend Developer Intern,Accenture,Work on real-time projects used by thousands of users while learning from senior mentors.,"Azure, Cloud Computing, Communication Skills, Creativity, Figma, Java, UI/UX Design",Pune,10705-35651,UI/UX Design,2026-01-09,False
Growth Intern,IBM,"Work in a student-friendly environment that values learning, feedback and long-term growth.","C++, Problem Solving, REST APIs, SQL",Noida,,Software Development,2026-05-05,False
Frontend Developer Intern,Ola,"Join a fast-paced team, ship features to production and get close guidance from experienced engineers.","C, Finance Basics, JavaScript",Mumbai,,Software Development,2026-01-25,False
Data Science Intern,Reliance,High-performing interns may be considered for full-time offers or extended internships.,"Data Analysis, Figma, Linux, Networking, Problem Solving, PyTorch, Python",Noida,23347-27484,Cybersecurity,2025-12-17,False
AI Research Intern,NVIDIA,"Get exposure to industry-standard tools, cloud platforms and modern engineering practices.","Communication Skills, Creativity, Deep Learning, Figma, NLP, Statistics, UI/UX Design",Bangalore,15078-29737,UI/UX Design,2026-03-26,False
DevOps Intern,TCS,"Get exposure to industry-standard tools, cloud platforms and modern engineering practices.","Communication Skills, Creativity, Figma, TensorFlow, UI/UX Design",Gurgaon,24012-32677,UI/UX Design,2026-02-25,False
Data Science Intern,Infosys,Design and develop user-facing features while collaborating closely with design and product.,"Creativity, Git/GitHub, UI/UX Design",Gurgaon,13880-17391,UI/UX Design,2026-05-24,False
Mobile App Developer Intern,Google,"Take ownership of a mini project from idea to demo, and present it to leadership at the end.","Azure, NLP, Pandas, Power BI, Teamwork",Kolkata,13420-23516,Data Science,2026-05-18,False
AI Research Intern,Flipkart,"Join a fast-paced team, ship features to production and get close guidance from experienced engineers.","Azure, Data Analysis, Machine Learning, Networking, Pandas, SQL",Mumbai,5190-30525,Data Science,2026-02-27,False
NLP Intern,Uber,Work on real-time projects used by thousands of users while learning from senior mentors.,"Cybersecurity, Docker, GCP, HTML/CSS, Linux, Problem Solving",Delhi,16232-43975,Cybersecurity,2026-05-10,False
Backend Developer Intern,Accenture,High-performing interns may be considered for full-time offers or extended internships.,"Excel, Linux, Problem Solving",Gurgaon,8997-24126,Finance,2026-06-06,False
Finance Intern,Uber,"Join a fast-paced team, ship features to production and get close guidance from experienced engineers.","C, Deep Learning, JavaScript, Machine Learning, NLP, NumPy, PyTorch, TensorFlow",Bangalore,9045-36076,Machine Learning,2025-12-21,False
Data Analyst Intern,Adobe,"Get exposure to industry-standard tools, cloud platforms and modern engineering practices.","Cloud Computing, Communication Skills, Creativity, Data Analysis, JavaScript, Marketing Basics, Tableau",Remote,9592-17498,Marketing / Growth,2026-05-08,True
QA / Test Automation Intern,Infosys,"Work in a student-friendly environment that values learning, feedback and long-term growth.","Cloud Computing, Data Analysis, Deep Learning, Machine Learning, Marketing Basics, TensorFlow",Bangalore,8685-34266,Machine Learning,2026-02-01,False
QA / Test Automation Intern,NVIDIA,"Work in a student-friendly environment that values learning, feedback and long-term growth.","Finance Basics, NumPy, SQL, Tableau, UI/UX Design",Kolkata,11966-23748,Data Science,2026-01-18,False
Cloud Engineering Intern,NVIDIA,Design and develop user-facing features while collaborating closely with design and product.,"Azure, Finance Basics, Git/GitHub, Linux, TensorFlow",Ahmedabad,23942-48079,Cloud / DevOps,2025-12-17,False
Growth Intern,Accenture,Work on real-time projects used by thousands of users while learning from senior mentors.,"C, Figma, HTML/CSS, Problem Solving, Python, SQL",Gurgaon,12983-17737,Software Development,2026-06-27,False
UI/UX Design Intern,Zomato,"Take ownership of a mini project from idea to demo, and present it to leadership at the end.","C, Figma, Git/GitHub, Java, Marketing Basics, Problem Solving",Remote,,Software Development,2026-01-23,True
Machine Learning Intern,Intel,"Join a fast-paced team, ship features to production and get close guidance from experienced engineers.","Figma, Java, Pandas, Problem Solving, Python, REST APIs, React",Pune,23920-36065,Software Development,2026-05-01,False
Data Analyst Intern,Paytm,Design and develop user-facing features while collaborating closely with design and product.,"Creativity, Data Analysis, Finance Basics, Problem Solving, SQL, Statistics, UI/UX Design",Noida,24018-31138,Finance,2026-02-22,False
Data Analyst Intern,Accenture,"Contribute to live ML pipelines, run experiments and present your findings to the product team.","Leadership, Linux, Python, Teamwork",Jaipur,19715-39650,Cybersecurity,2026-06-28,False
Data Analyst Intern,Microsoft,"Work in a student-friendly environment that values learning, feedback and long-term growth.","AWS, Creativity, Git/GitHub, Linux, Statistics",Ahmedabad,11450-36742,Cloud / DevOps,2026-03-11,False
Product Management Intern,Byjus,"Take ownership of a mini project from idea to demo, and present it to leadership at the end.","Azure, Data Analysis, Deep Learning, Problem Solving, PyTorch, Python, Statistics",Kolkata,,Machine Learning,2026-07-23,False
Cybersecurity Intern,Zoho,"Contribute to live ML pipelines, run experiments and present your findings to the product team.","C++, Marketing Basics, Networking, Problem Solving, Python",Kolkata,,Cybersecurity,2026-07-11,False
Cybersecurity Intern,Wipro,"Improve your fundamentals with code reviews, pair programming and weekly learning sessions.","HTML/CSS, NLP, Power BI, Problem Solving",Pune,22827-42197,Software Development,2026-02-25,False
NLP Intern,Amazon,"Solve practical business problems with data and models, and build a strong portfolio of projects.","Communication Skills, Creativity, Data Analysis, Marketing Basics, Pandas",Gurgaon,11904-34299,Marketing / Growth,2026-05-10,False
Product Management Intern,Accenture,Design and develop user-facing features while collaborating closely with design and product.,"Creativity, Data Analysis, Machine Learning, Marketing Basics, NLP, Product Sense, Python, Statistics",Chennai,20346-46928,Machine Learning,2026-06-20,False
NLP Intern,Adobe,"Work in a student-friendly environment that values learning, feedback and long-term growth.","Communication Skills, Machine Learning, SQL",Ahmedabad,16382-38677,Business / Analytics,2025-12-25,False
Machine Learning Intern,Uber,"Join a fast-paced team, ship features to production and get close guidance from experienced engineers.","Data Analysis, Excel, Finance Basics, Leadership, Problem Solving, Statistics",Bangalore,,Finance,2026-05-28,False
Business Analyst Intern,Ola,Design and develop user-facing features while collaborating closely with design and product.,"Cybersecurity, HTML/CSS, Machine Learning, Networking, Python, Tableau",Gurgaon,21735-43282,Cybersecurity,2026-03-26,False
NLP Intern,Wipro,"Join a fast-paced team, ship features to production and get close guidance from experienced engineers.","C, Cloud Computing, JavaScript, Networking, Power BI",Hyderabad,10437-33441,Software Development,2026-06-10,False
Software Engineering Intern,Google,Design and develop user-facing features while collaborating closely with design and product.,"C++, Excel, Git/GitHub, HTML/CSS, Problem Solving, Python, React, Time Management",Noida,6702-32922,Software Development,2026-07-22,False
QA / Test Automation Intern,Ola,"Improve your fundamentals with code reviews, pair programming and weekly learning sessions.","C, Communication Skills, Excel, Linux, Networking, Problem Solving, Python",Gurgaon,12797-37412,Cybersecurity,2026-04-19,False
DevOps Intern,Accenture,"Contribute to live ML pipelines, run experiments and present your findings to the product team.","C, C++, HTML/CSS, Java, NLP, Networking, Python",Gurgaon,5583-30665,Software Development,2026-06-26,False
Finance Intern,Ola,Work on real-time projects used by thousands of users while learning from senior mentors.,"Cloud Computing, Communication Skills, Creativity, Figma, NLP, Teamwork, UI/UX Design",Jaipur,,UI/UX Design,2026-05-19,False
